index,OrderID,OrderDate,ShipDate,ShipMode,CustomerID
493,CA-2016-169166,5/9/2016,5/14/2016,Standard Class,SS-20590
494,US-2016-120929,3/18/2016,3/21/2016,Second Class,RO-19780
495,CA-2015-134782,12/27/2015,12/31/2015,Standard Class,MD-17350
496,CA-2016-126158,7/25/2016,7/31/2016,Standard Class,SC-20095
500,US-2016-105578,5/30/2016,6/4/2016,Standard Class,MY-17380
505,CA-2017-134978,11/12/2017,11/15/2017,Second Class,EB-13705
506,CA-2015-145352,3/16/2015,3/22/2015,Standard Class,CM-12385
510,CA-2017-135307,11/26/2017,11/27/2017,First Class,LS-17245
512,CA-2016-106341,10/20/2016,10/23/2016,First Class,LF-17185
513,CA-2017-163405,12/21/2017,12/25/2017,Standard Class,BN-11515
515,CA-2017-127432,1/22/2017,1/27/2017,Standard Class,AD-10180
519,CA-2015-157812,3/22/2015,3/26/2015,Standard Class,DB-13210
522,CA-2017-145142,1/23/2017,1/25/2017,First Class,MC-17605
523,US-2016-139486,5/21/2016,5/23/2016,First Class,LH-17155
525,CA-2015-158792,12/26/2015,1/2/2016,Standard Class,BD-11605
526,CA-2017-113558,10/21/2017,10/26/2017,Standard Class,PH-18790
528,US-2015-138303,9/3/2015,9/7/2015,Standard Class,MG-18145
531,CA-2015-102848,11/7/2015,11/9/2015,Second Class,KB-16240
532,US-2017-129441,9/7/2017,9/11/2017,Standard Class,JC-15340
533,CA-2016-168753,5/29/2016,6/1/2016,Second Class,RL-19615
535,CA-2016-126613,7/10/2016,7/16/2016,Standard Class,AA-10375
536,US-2017-122637,9/3/2017,9/8/2017,Second Class,EP-13915
537,CA-2015-147851,12/3/2015,12/8/2015,Standard Class,MP-17470
538,CA-2015-134894,12/7/2015,12/11/2015,Standard Class,DK-12985
540,CA-2014-140795,2/1/2014,2/3/2014,First Class,BD-11500
541,CA-2016-136924,7/14/2016,7/17/2016,First Class,ES-14080
542,US-2015-120161,12/18/2015,12/23/2015,Standard Class,LM-17065
543,CA-2014-103849,5/11/2014,5/16/2014,Standard Class,PG-18895
546,CA-2017-162929,11/19/2017,11/22/2017,First Class,AS-10135
548,CA-2015-113173,11/15/2015,11/17/2015,Second Class,DK-13225
551,CA-2016-136406,4/15/2016,4/17/2016,Second Class,BD-11320
552,CA-2017-112774,9/11/2017,9/12/2017,First Class,RC-19960
553,CA-2017-101945,11/24/2017,11/28/2017,Standard Class,GT-14710
554,CA-2017-100650,6/29/2017,7/3/2017,Second Class,DK-13225
555,CA-2014-155852,3/3/2014,3/7/2014,Second Class,AJ-10945
556,CA-2016-113243,6/10/2016,6/15/2016,Standard Class,OT-18730
559,CA-2017-118731,11/20/2017,11/22/2017,Second Class,LP-17080
561,CA-2014-145576,9/14/2014,9/18/2014,Second Class,CA-12775
563,CA-2015-130736,12/7/2015,12/9/2015,First Class,JF-15490
565,CA-2017-137099,12/7/2017,12/10/2017,First Class,FP-14320
566,CA-2017-156951,10/1/2017,10/8/2017,Standard Class,EB-13840
570,CA-2017-164826,12/28/2017,1/4/2018,Standard Class,JF-15415
574,CA-2016-127250,11/3/2016,11/7/2016,Standard Class,SF-20200
575,CA-2015-149713,9/18/2015,9/22/2015,Second Class,TG-21640
578,CA-2017-118640,7/20/2017,7/26/2017,Standard Class,CS-11950
580,CA-2015-132906,9/10/2015,9/14/2015,Standard Class,CC-12145
581,CA-2017-145233,12/1/2017,12/5/2017,Standard Class,DV-13465
586,CA-2015-128139,7/3/2015,7/9/2015,Standard Class,BD-11725
588,US-2016-156986,3/20/2016,3/24/2016,Standard Class,ZC-21910
592,CA-2014-135405,1/9/2014,1/13/2014,Standard Class,MS-17830
594,CA-2014-131450,8/8/2014,8/15/2014,Standard Class,LR-16915
598,CA-2016-120180,7/14/2016,7/16/2016,First Class,TP-21130
599,US-2016-100720,7/16/2016,7/21/2016,Standard Class,CK-12205
602,CA-2014-149958,3/15/2014,3/19/2014,Standard Class,AS-10240
607,US-2014-105767,5/23/2014,5/27/2014,Standard Class,AR-10510
610,CA-2016-161816,4/28/2016,5/1/2016,First Class,NB-18655
612,CA-2016-121223,9/11/2016,9/13/2016,Second Class,GD-14590
614,CA-2017-138611,11/14/2017,11/17/2017,Second Class,CK-12595
616,CA-2017-117947,8/18/2017,8/23/2017,Second Class,NG-18355
621,US-2014-111171,12/26/2014,12/31/2014,Standard Class,CA-12265
622,CA-2015-138009,11/29/2015,12/3/2015,Standard Class,SF-20965
626,CA-2017-163020,9/15/2017,9/19/2017,Standard Class,MO-17800
627,CA-2017-153787,5/19/2017,5/23/2017,Standard Class,AT-10735
628,CA-2017-133431,12/17/2017,12/21/2017,Standard Class,LC-17140
630,US-2016-135720,12/11/2016,12/13/2016,Second Class,FM-14380
633,CA-2017-144694,9/24/2017,9/26/2017,Second Class,BD-11605
635,CA-2015-168004,10/4/2015,10/9/2015,Second Class,DJ-13420
636,US-2016-123470,8/15/2016,8/21/2016,Standard Class,ME-17725
638,CA-2016-115917,5/20/2016,5/25/2016,Standard Class,RB-19465
640,CA-2016-147067,12/18/2016,12/22/2016,Standard Class,JD-16150
641,CA-2017-167913,7/30/2017,8/3/2017,Second Class,JL-15835
643,CA-2017-106103,6/10/2017,6/15/2017,Standard Class,SC-20305
644,US-2017-127719,7/21/2017,7/25/2017,Standard Class,TW-21025
645,CA-2017-126221,12/30/2017,1/5/2018,Standard Class,CC-12430
646,CA-2016-103947,4/1/2016,4/8/2016,Standard Class,BB-10990
648,CA-2016-160745,12/11/2016,12/16/2016,Second Class,AR-10825
651,CA-2016-132661,10/23/2016,10/29/2016,Standard Class,SR-20740
652,CA-2017-140844,6/19/2017,6/23/2017,Standard Class,AR-10405
654,CA-2016-137239,8/22/2016,8/28/2016,Standard Class,CR-12730
657,US-2016-156097,9/19/2016,9/19/2016,Same Day,EH-14125
659,CA-2015-146563,8/24/2015,8/28/2015,Standard Class,CB-12025
663,CA-2016-123666,3/26/2016,3/30/2016,Standard Class,SP-20545
664,CA-2016-143308,11/4/2016,11/4/2016,Same Day,RC-19825
665,CA-2017-132682,6/8/2017,6/10/2017,Second Class,TH-21235
668,CA-2014-156314,12/24/2014,12/26/2014,First Class,RP-19390
669,US-2017-106663,6/9/2017,6/13/2017,Standard Class,MO-17800
672,CA-2017-111178,6/15/2017,6/22/2017,Standard Class,TD-20995
673,CA-2017-130351,12/5/2017,12/8/2017,First Class,RB-19570
676,US-2017-119438,3/18/2017,3/23/2017,Standard Class,CD-11980
680,CA-2016-164511,11/19/2016,11/24/2016,Standard Class,DJ-13630
683,US-2017-168116,11/4/2017,11/4/2017,Same Day,GT-14635
685,CA-2014-157784,7/5/2014,7/8/2014,First Class,MC-17845
688,CA-2017-161480,12/25/2017,12/29/2017,Standard Class,RA-19285
689,US-2014-117135,6/21/2014,6/23/2014,Second Class,NP-18325
692,CA-2015-131534,3/28/2015,4/2/2015,Standard Class,AB-10165
694,CA-2015-119291,5/14/2015,5/17/2015,First Class,JO-15550
701,CA-2017-114552,9/2/2017,9/8/2017,Standard Class,Dl-13600
702,CA-2016-163755,11/4/2016,11/8/2016,Second Class,AS-10285
703,CA-2015-142027,4/9/2015,4/14/2015,Standard Class,JK-15370
704,CA-2014-138527,9/12/2014,9/17/2014,Standard Class,BN-11470
707,CA-2014-112158,12/2/2014,12/4/2014,First Class,DP-13165
710,CA-2014-113887,4/5/2014,4/7/2014,First Class,TH-21550
711,CA-2017-146136,9/3/2017,9/7/2017,Standard Class,AP-10915
712,US-2017-100048,5/19/2017,5/24/2017,Standard Class,RS-19765
715,CA-2014-153150,7/1/2014,7/6/2014,Second Class,Dl-13600
716,CA-2014-130092,1/11/2014,1/14/2014,First Class,SV-20365
717,CA-2017-108910,9/24/2017,9/29/2017,Standard Class,KC-16540
718,CA-2014-104472,6/2/2014,6/7/2014,Standard Class,CK-12325
720,CA-2016-112942,2/13/2016,2/18/2016,Standard Class,RD-19810
721,CA-2016-142335,12/15/2016,12/19/2016,Standard Class,MP-17965
723,CA-2014-117429,10/7/2014,10/13/2014,Standard Class,MR-17545
724,CA-2016-114713,7/7/2016,7/12/2016,Standard Class,SC-20695
725,CA-2017-144113,9/16/2017,9/20/2017,Standard Class,JF-15355
727,US-2016-150861,12/3/2016,12/6/2016,First Class,EG-13900
732,CA-2017-131954,1/21/2017,1/25/2017,Standard Class,DS-13030
738,CA-2014-132500,9/8/2014,9/12/2014,Standard Class,GZ-14470
739,CA-2014-112326,1/4/2014,1/8/2014,Standard Class,PO-19195
742,US-2016-146710,8/27/2016,9/1/2016,Standard Class,SS-20875
746,CA-2014-124429,5/27/2014,5/27/2014,Same Day,MH-17785
748,CA-2016-150889,3/20/2016,3/22/2016,Second Class,PB-19105
749,CA-2017-126074,10/2/2017,10/6/2017,Standard Class,RF-19735
753,CA-2016-110499,4/7/2016,4/9/2016,First Class,YC-21895
754,CA-2015-135272,12/7/2015,12/12/2015,Standard Class,MS-17830
755,CA-2016-140928,9/18/2016,9/22/2016,Standard Class,NB-18655
756,CA-2014-106803,12/29/2014,1/2/2015,Standard Class,DC-13285
758,CA-2017-117240,7/23/2017,7/28/2017,Standard Class,CP-12340
759,CA-2017-133333,9/18/2017,9/22/2017,Standard Class,BF-11020
760,CA-2015-112319,8/31/2015,9/5/2015,Standard Class,AR-10510
761,CA-2017-126046,11/3/2017,11/7/2017,Standard Class,JC-16105
762,CA-2015-114923,2/8/2015,2/13/2015,Standard Class,LH-17020
763,CA-2014-162775,1/13/2014,1/15/2014,Second Class,CS-12250
768,CA-2014-106810,5/14/2014,5/20/2014,Standard Class,AJ-10795
769,CA-2016-157245,5/19/2016,5/24/2016,Standard Class,LE-16810
770,CA-2017-104220,1/30/2017,2/5/2017,Standard Class,BV-11245
776,CA-2014-165974,6/29/2014,7/6/2014,Standard Class,DL-12865
777,CA-2015-144267,8/21/2015,8/23/2015,First Class,NZ-18565
781,US-2015-157014,10/3/2015,10/6/2015,Second Class,BM-11785
785,CA-2015-154921,5/23/2015,5/28/2015,Standard Class,EA-14035
786,CA-2017-129567,3/17/2017,3/21/2017,Second Class,CL-12565
787,CA-2015-154620,12/12/2015,12/16/2015,Standard Class,LT-17110
788,CA-2015-115938,6/26/2015,6/30/2015,Standard Class,SA-20830
792,CA-2016-105256,5/20/2016,5/20/2016,Same Day,JK-15730
793,CA-2014-156433,9/20/2014,9/26/2014,Standard Class,ES-14020
795,CA-2017-151428,9/21/2017,9/26/2017,Standard Class,RH-19495
796,CA-2015-124653,12/24/2015,12/26/2015,First Class,DB-13120
799,CA-2015-101910,11/27/2015,12/3/2015,Standard Class,CD-11920
800,CA-2017-105809,2/20/2017,2/23/2017,First Class,HW-14935
802,CA-2016-136133,8/18/2016,8/23/2016,Second Class,HW-14935
803,CA-2016-115504,3/12/2016,3/17/2016,Standard Class,MC-18130
804,CA-2017-135783,4/22/2017,4/24/2017,First Class,GM-14440
805,CA-2014-134313,11/1/2014,11/7/2014,Standard Class,RA-19915
807,CA-2015-140921,2/3/2015,2/5/2015,First Class,AA-10375
809,CA-2014-151995,10/13/2014,10/15/2014,First Class,ZC-21910
813,CA-2017-143686,5/14/2017,5/14/2017,Same Day,PJ-19015
815,CA-2015-106565,3/20/2015,3/23/2015,First Class,BW-11110
816,CA-2016-149370,9/15/2016,9/19/2016,Standard Class,DB-13210
