CustomerID,Country,Region,State,City,PostalCode,PostID
CV-12805,United States,East,New York,New York City,10035,A01093
CL-12565,United States,Central,Iowa,Urbandale,50322,A00925
RC-19960,United States,East,Ohio,Columbus,43229,A03884
DK-13090,United States,West,Washington,Seattle,98103,A01278
GG-14650,United States,South,Tennessee,Bristol,37620,A01842
SC-20725,United States,East,Delaware,Wilmington,19805,A04196
AD-10180,United States,Central,Texas,Houston,77041,A00092
PF-19165,United States,Central,Illinois,Bloomington,61701,A03616
TS-21610,United States,West,Arizona,Phoenix,85023,A04749
LS-16975,United States,West,California,Los Angeles,90004,A02919
DW-13585,United States,East,Ohio,Columbus,43229,A01463
LC-16885,United States,West,California,Roseville,95661,A02799
JD-15895,United States,East,Pennsylvania,Philadelphia,19140,A02145
SH-19975,United States,West,California,San Francisco,94122,A04282
SG-20080,United States,Central,Missouri,Independence,64055,A04254
HA-14920,United States,West,California,Pasadena,91104,A01955
MG-17680,United States,East,Ohio,Newark,43055,A03111
JE-16165,United States,Central,Wisconsin,Franklin,53132,A02201
TW-21025,United States,West,Arizona,Scottsdale,85254,A04785
SP-20650,United States,West,California,San Jose,95123,A04393
NK-18490,United States,West,Washington,Seattle,98105,A03487
DB-13060,United States,West,Washington,Seattle,98115,A01137
NP-18670,United States,Central,Oklahoma,Edmond,73034,A03515
TT-21070,United States,West,California,Los Angeles,90045,A04760
EM-13960,United States,East,Pennsylvania,Philadelphia,19134,A01647
RD-19900,United States,West,New Mexico,Carlsbad,88220,A03932
MJ-17740,United States,West,Washington,Seattle,98115,A03182
BM-11140,United States,Central,Texas,San Antonio,78207,A00549
CS-12130,United States,West,California,Los Angeles,90004,A01026
JB-15400,United States,Central,Illinois,Chicago,60623,A02090
SJ-20500,United States,Central,Texas,Houston,77036,A04317
JE-15745,United States,East,Ohio,Newark,43055,A02196
JK-15640,United States,East,New York,New York City,10009,A02327
DK-13150,United States,Central,Illinois,Decatur,62521,A01280
RM-19675,United States,South,Louisiana,Monroe,71203,A04008
SK-19990,United States,East,Connecticut,Fairfield,6824,A04321
FM-14290,United States,West,California,Los Angeles,90032,A01765
AM-10360,United States,Central,Texas,Grand Prairie,75051,A00251
MP-17470,United States,East,New York,New York City,10035,A03277
MZ-17515,United States,West,California,Redlands,92374,A03397
CB-12025,United States,East,Ohio,Hamilton,45011,A00746
VM-21685,United States,East,New Jersey,Westfield,7090,A04825
FH-14365,United States,East,Pennsylvania,Philadelphia,19120,A01752
MB-17305,United States,East,Ohio,Akron,44312,A02984
BS-11755,United States,West,Colorado,Denver,80219,A00654
LC-17140,United States,Central,Texas,Dallas,75220,A02822
HK-14890,United States,South,Tennessee,Franklin,37064,A02006
LE-16810,United States,West,California,Whittier,90604,A02839
JH-15985,United States,Central,Michigan,Saginaw,48601,A02288
MS-17980,United States,Central,Texas,Dallas,75220,A03333
VW-21775,United States,East,Ohio,Medina,44256,A04852
JH-15910,United States,West,California,Los Angeles,90032,A02283
JB-15925,United States,East,Ohio,Dublin,43017,A02100
DS-13180,United States,Central,Michigan,Detroit,48227,A01429
VD-21670,United States,South,Tennessee,Columbia,38401,A04798
EA-14035,United States,South,North Carolina,Charlotte,28205,A01486
CS-12400,United States,South,Florida,Tampa,33614,A01062
DB-13120,United States,West,California,Santa Clara,95051,A01144
KL-16645,United States,Central,Illinois,Chicago,60610,A02673
DW-13480,United States,Central,Minnesota,Lakeville,55044,A01454
LH-17155,United States,West,California,San Francisco,94109,A02869
KC-16540,United States,West,California,San Diego,92037,A02581
DL-13315,United States,East,New York,New York City,10024,A01314
DR-12880,United States,Central,Illinois,Chicago,60623,A01406
CC-12670,United States,East,New York,New York City,10009,A00830
Dl-13600,United States,Central,Texas,Pasadena,77506,A01472
SB-20290,United States,Central,Texas,Houston,77036,A04106
RC-19825,United States,Central,Illinois,Chicago,60610,A03878
AH-10210,United States,West,California,Brentwood,94513,A00189
CB-12535,United States,South,North Carolina,Chapel Hill,27514,A00762
PG-18895,United States,East,New Jersey,Morristown,7960,A03641
CA-12310,United States,East,Ohio,Cincinnati,45231,A00734
KH-16690,United States,West,California,San Francisco,94110,A02661
HA-14920,United States,West,California,San Francisco,94109,A01957
BB-10990,United States,West,California,Inglewood,90301,A00388
AG-10495,United States,East,Pennsylvania,Philadelphia,19140,A00132
SC-20725,United States,Central,Texas,Houston,77070,A04187
JO-15280,United States,West,California,Los Angeles,90004,A02447
TB-21520,United States,West,Oregon,Portland,97206,A04580
AH-10195,United States,South,Florida,Tamarac,33319,A00187
NZ-18565,United States,East,Ohio,Columbus,43229,A03561
KL-16555,United States,West,Colorado,Colorado Springs,80906,A02666
JD-15895,United States,East,New Jersey,Belleville,7109,A02138
JH-15910,United States,Central,Illinois,Chicago,60623,A02280
AS-10225,United States,East,New York,New York City,10024,A00329
KB-16600,United States,Central,Michigan,Taylor,48180,A02572
CR-12625,United States,East,New Jersey,Lakewood,8701,A00998
SH-20395,United States,South,Virginia,Arlington,22204,A04286
BP-11185,United States,West,Colorado,Arvada,80004,A00614
TS-21205,United States,East,New Jersey,Hackensack,7601,A04719
AG-10525,United States,South,Florida,Saint Petersburg,33710,A00138
SP-20860,United States,East,Pennsylvania,Philadelphia,19143,A04404
NM-18445,United States,East,New York,New York City,10024,A03495
FA-14230,United States,West,California,Long Beach,90805,A01706
GK-14620,United States,West,California,Hesperia,92345,A01868
DJ-13510,United States,South,Tennessee,Murfreesboro,37130,A01241
PO-18850,United States,East,Pennsylvania,Philadelphia,19143,A03704
JL-15850,United States,East,Pennsylvania,Philadelphia,19134,A02391
DB-13615,United States,West,California,Los Angeles,90045,A01181
AC-10420,United States,West,California,San Francisco,94122,A00073
KL-16645,United States,West,Utah,Layton,84041,A02678
CS-12130,United States,Central,Texas,Austin,78745,A01024
CC-12550,United States,West,California,San Francisco,94122,A00819
TD-20995,United States,East,Massachusetts,Lowell,1852,A04628
AB-10060,United States,East,New York,New York City,10009,A00032
JL-15505,United States,East,New York,New York City,10035,A02375
HK-14890,United States,South,North Carolina,Charlotte,28205,A02003
VB-21745,United States,South,Georgia,Columbus,31907,A04792
KW-16435,United States,East,New York,New York City,10009,A02757
JD-16060,United States,West,California,San Francisco,94109,A02156
MK-17905,United States,East,Connecticut,Manchester,6040,A03187
GT-14755,United States,Central,Texas,Harlingen,78550,A01921
AG-10900,United States,West,Arizona,Tucson,85705,A00158
MM-18280,United States,Central,Illinois,Quincy,62301,A03250
AR-10405,United States,East,Massachusetts,Franklin,2038,A00285
RA-19915,United States,Central,Texas,Houston,77095,A03820
AS-10285,United States,West,California,San Francisco,94109,A00343
LA-16780,United States,Central,Michigan,Taylor,48180,A02771
DO-13435,United States,South,Florida,Pembroke Pines,33024,A01367
DK-13225,United States,East,Pennsylvania,Philadelphia,19140,A01287
NG-18430,United States,East,Ohio,Cincinnati,45231,A03471
MV-18190,United States,East,New York,New York City,10009,A03359
JG-15115,United States,West,Washington,Des Moines,98198,A02247
BP-11095,United States,Central,Illinois,Peoria,61604,A00605
VP-21730,United States,West,Nevada,Las Vegas,89115,A04832
SS-20140,United States,East,Rhode Island,Warwick,2886,A04430
HP-14815,United States,Central,Michigan,Jackson,49201,A02032
AG-10675,United States,Central,Texas,Houston,77036,A00142
LF-17185,United States,South,Florida,Miami,33180,A02842
SP-20650,United States,South,North Carolina,Wilmington,28403,A04395
RF-19840,United States,East,New York,New York City,10024,A03967
KH-16510,United States,West,California,San Francisco,94110,A02647
KC-16675,United States,West,Washington,Seattle,98105,A02585
CJ-12010,United States,West,California,Huntington Beach,92646,A00868
PB-19150,United States,West,California,Los Angeles,90004,A03598
VB-21745,United States,South,Kentucky,Richmond,40475,A04795
SP-20860,United States,West,California,Los Angeles,90045,A04401
JE-15745,United States,West,Colorado,Louisville,80027,A02194
MP-17965,United States,East,Massachusetts,Lawrence,1841,A03281
NF-18385,United States,South,Mississippi,Jackson,39212,A03452
JM-15265,United States,Central,Michigan,Canton,48187,A02400
SD-20485,United States,East,New York,New Rochelle,10801,A04214
KH-16630,United States,Central,Texas,San Antonio,78207,A02655
RB-19795,United States,South,North Carolina,Gastonia,28052,A03871
DB-13060,United States,East,Massachusetts,Lowell,1852,A01136
MK-18160,United States,South,Florida,Jacksonville,32216,A03191
PO-19180,United States,Central,Illinois,Chicago,60623,A03715
BB-11545,United States,Central,Texas,Houston,77070,A00397
CV-12805,United States,East,New York,New York City,10024,A01092
PK-19075,United States,Central,Michigan,Detroit,48227,A03668
TB-21595,United States,Central,Indiana,Columbus,47201,A04582
RB-19360,United States,East,New York,Auburn,13021,A03829
EB-13705,United States,East,Ohio,Akron,44312,A01498
KH-16630,United States,Central,Oklahoma,Norman,73071,A02653
SC-20095,United States,West,California,Concord,94521,A04124
NF-18385,United States,Central,Illinois,Decatur,62521,A03450
JH-15985,United States,West,Washington,Seattle,98115,A02291
TN-21040,United States,West,Arizona,Phoenix,85023,A04682
JS-15940,United States,Central,Illinois,Park Ridge,60068,A02504
DS-13180,United States,Central,Texas,Amarillo,79109,A01427
CC-12670,United States,Central,Illinois,Chicago,60610,A00828
MH-17785,United States,East,New York,Lindenhurst,11757,A03157
JP-15520,United States,West,California,San Francisco,94110,A02471
KH-16690,United States,West,California,Los Angeles,90008,A02658
JE-15475,United States,East,New York,Troy,12180,A02170
JG-15805,United States,East,New York,New York City,10024,A02266
XP-21865,United States,West,California,San Diego,92024,A04878
EM-14065,United States,East,New York,New York City,10024,A01654
MT-18070,United States,West,California,Los Angeles,90045,A03346
SA-20830,United States,Central,Illinois,Chicago,60610,A04085
CW-11905,United States,Central,Texas,Huntsville,77340,A01099
AJ-10960,United States,East,New York,Rochester,14609,A00248
SS-20590,United States,West,Washington,Seattle,98115,A04444
RO-19780,United States,South,Tennessee,Memphis,38109,A04015
MD-17350,United States,South,Arkansas,Fayetteville,72701,A03063
SC-20095,United States,West,California,Costa Mesa,92627,A04125
MY-17380,United States,West,Colorado,Parker,80134,A03375
EB-13705,United States,East,New York,New York City,10024,A01503
CM-12385,United States,South,Georgia,Atlanta,30318,A00959
LS-17245,United States,Central,Missouri,Gladstone,64118,A02932
LF-17185,United States,East,Ohio,Newark,43055,A02845
BN-11515,United States,West,California,Los Angeles,90049,A00581
AD-10180,United States,West,Montana,Great Falls,59405,A00091
DB-13210,United States,Central,Texas,Houston,77041,A01148
MC-17605,United States,Central,Michigan,Detroit,48234,A03028
LH-17155,United States,West,California,Los Angeles,90032,A02867
BD-11605,United States,East,Massachusetts,Lawrence,1841,A00431
PH-18790,United States,South,Florida,Lakeland,33801,A03648
MG-18145,United States,East,Pennsylvania,Philadelphia,19134,A03132
KB-16240,United States,West,California,Los Angeles,90036,A02536
JC-15340,United States,West,California,Los Angeles,90032,A02114
RL-19615,United States,South,Alabama,Montgomery,36116,A03997
AA-10375,United States,West,Arizona,Mesa,85204,A00009
EP-13915,United States,Central,Illinois,Chicago,60653,A01673
MP-17470,United States,East,New York,New York City,10009,A03276
DK-12985,United States,South,Kentucky,Henderson,42420,A01269
BD-11500,United States,Central,Wisconsin,Green Bay,54302,A00424
ES-14080,United States,West,Arizona,Tucson,85705,A01704
LM-17065,United States,East,Ohio,Springfield,45503,A02881
PG-18895,United States,Central,Texas,Fort Worth,76106,A03639
AS-10135,United States,East,New York,New York City,10035,A00326
DK-13225,United States,Central,Illinois,Chicago,60653,A01283
BD-11320,United States,West,California,San Francisco,94110,A00418
RC-19960,United States,South,Florida,Jacksonville,32216,A03887
GT-14710,United States,Central,Texas,Houston,77070,A01913
DK-13225,United States,West,California,Anaheim,92804,A01282
AJ-10945,United States,South,North Carolina,Wilmington,28403,A00246
OT-18730,United States,West,California,Los Angeles,90045,A03581
LP-17080,United States,West,California,San Francisco,94110,A02887
CA-12775,United States,South,Florida,Tampa,33614,A00740
JF-15490,United States,West,Washington,Seattle,98105,A02235
FP-14320,United States,West,California,Los Angeles,90008,A01792
EB-13840,United States,West,Washington,Seattle,98105,A01521
JF-15415,United States,East,New York,New York City,10024,A02223
SF-20200,United States,West,Washington,Marysville,98270,A04237
TG-21640,United States,West,California,Long Beach,90805,A04640
CS-11950,United States,Central,Illinois,Chicago,60610,A01015
CC-12145,United States,West,California,Los Angeles,90004,A00776
DV-13465,United States,West,Colorado,Denver,80219,A01441
BD-11725,United States,South,Kentucky,Richmond,40475,A00450
ZC-21910,United States,West,Oregon,Salem,97301,A04905
MS-17830,United States,Central,Texas,Laredo,78041,A03330
LR-16915,United States,West,California,San Diego,92024,A02902
TP-21130,United States,East,Pennsylvania,Philadelphia,19134,A04690
CK-12205,United States,East,Pennsylvania,Philadelphia,19120,A00882
AS-10240,United States,South,Florida,Tampa,33614,A00338
AR-10510,United States,East,Pennsylvania,Philadelphia,19134,A00293
NB-18655,United States,Central,Texas,Dallas,75217,A03401
GD-14590,United States,East,Pennsylvania,Philadelphia,19143,A01839
CK-12595,United States,East,Ohio,Grove City,43123,A00892
NG-18355,United States,East,New York,New York City,10011,A03468
CA-12265,United States,Central,Illinois,Chicago,60610,A00724
SF-20965,United States,Central,Michigan,Dearborn,48126,A04248
MO-17800,United States,East,New York,New York City,10009,A03265
AT-10735,United States,West,Washington,Seattle,98115,A00365
LC-17140,United States,West,California,San Francisco,94122,A02827
FM-14380,United States,West,Colorado,Aurora,80013,A01773
BD-11605,United States,South,Florida,Miami,33180,A00432
DJ-13420,United States,South,Georgia,Warner Robins,31088,A01239
ME-17725,United States,West,Colorado,Aurora,80013,A03080
RB-19465,United States,West,California,Vallejo,94591,A03854
JD-16150,United States,Central,Minnesota,Minneapolis,55407,A02159
JL-15835,United States,West,California,Mission Viejo,92691,A02382
SC-20305,United States,Central,Michigan,Rochester Hills,48307,A04150
TW-21025,United States,East,New Jersey,Plainfield,7060,A04784
CC-12430,United States,Central,Indiana,Columbus,47201,A00798
BB-10990,United States,West,Arizona,Sierra Vista,85635,A00391
AR-10825,United States,West,Washington,Vancouver,98661,A00309
SR-20740,United States,East,New York,New York City,10024,A04421
AR-10405,United States,East,New York,New York City,10035,A00288
CR-12730,United States,East,Ohio,Columbus,43229,A01000
EH-14125,United States,Central,Illinois,Aurora,60505,A01602
CB-12025,United States,Central,Texas,Arlington,76017,A00742
SP-20545,United States,East,New York,New York City,10011,A04375
RC-19825,United States,South,Kentucky,Louisville,40214,A03881
TH-21235,United States,Central,Texas,Dallas,75081,A04654
RP-19390,United States,East,Ohio,Cleveland,44105,A04023
MO-17800,United States,Central,Illinois,Chicago,60653,A03263
TD-20995,United States,Central,Illinois,Quincy,62301,A04632
RB-19570,United States,Central,Indiana,Columbus,47201,A03856
CD-11980,United States,Central,Texas,Tyler,75701,A00845
DJ-13630,United States,East,New York,New York City,10024,A01249
GT-14635,United States,South,North Carolina,Burlington,27217,A01908
MC-17845,United States,South,Mississippi,Jackson,39212,A03040
RA-19285,United States,East,New York,New York City,10035,A03801
NP-18325,United States,South,Virginia,Waynesboro,22980,A03514
AB-10165,United States,West,California,Los Angeles,90036,A00054
JO-15550,United States,East,Pennsylvania,Chester,19013,A02453
Dl-13600,United States,East,Ohio,Cleveland,44105,A01470
AS-10285,United States,West,Washington,Seattle,98103,A00344
JK-15370,United States,West,California,Long Beach,90805,A02313
BN-11470,United States,South,North Carolina,Cary,27511,A00577
DP-13165,United States,East,New York,New York City,10035,A01396
TH-21550,United States,East,New York,New York City,10035,A04667
AP-10915,United States,South,Florida,Palm Coast,32137,A00278
RS-19765,United States,East,New York,Mount Vernon,10550,A04060
Dl-13600,United States,West,Washington,Seattle,98105,A01473
SV-20365,United States,East,Delaware,Dover,19901,A04467
KC-16540,United States,East,Ohio,Newark,43055,A02580
CK-12325,United States,West,Utah,Orem,84057,A00887
RD-19810,United States,West,California,Los Angeles,90045,A03926
MP-17965,United States,Central,Michigan,Detroit,48205,A03280
MR-17545,United States,East,Pennsylvania,Philadelphia,19140,A03299
SC-20695,United States,South,Florida,Hialeah,33012,A04180
JF-15355,United States,Central,Texas,Austin,78745,A02216
EG-13900,United States,East,New York,Oceanside,11572,A01567
DS-13030,United States,West,Washington,Seattle,98115,A01426
GZ-14470,United States,West,California,San Francisco,94110,A01939
PO-19195,United States,Central,Illinois,Naperville,60540,A03725
SS-20875,United States,Central,Texas,Dallas,75220,A04446
MH-17785,United States,West,California,San Diego,92105,A03160
PB-19105,United States,Central,Illinois,Evanston,60201,A03593
RF-19735,United States,Central,Michigan,Trenton,48183,A03963
YC-21895,United States,West,California,San Francisco,94110,A04884
MS-17830,United States,West,California,Los Angeles,90036,A03331
NB-18655,United States,South,Florida,Jacksonville,32216,A03402
DC-13285,United States,Central,Minnesota,Cottage Grove,55016,A01202
CP-12340,United States,East,New York,New York City,10009,A00987
BF-11020,United States,Central,Wisconsin,Green Bay,54302,A00487
AR-10510,United States,West,California,Los Angeles,90004,A00291
JC-16105,United States,South,Georgia,Atlanta,30318,A02128
LH-17020,United States,East,Ohio,Columbus,43229,A02859
CS-12250,United States,South,Louisiana,Bossier City,71111,A01033
AJ-10795,United States,South,Florida,Saint Petersburg,33710,A00236
LE-16810,United States,South,Virginia,Arlington,22204,A02835
BV-11245,United States,Central,Iowa,Des Moines,50315,A00691
DL-12865,United States,East,Ohio,Cincinnati,45231,A01298
NZ-18565,United States,West,California,San Francisco,94110,A03565
BM-11785,United States,East,Ohio,Columbus,43229,A00568
EA-14035,United States,South,South Carolina,Columbia,29203,A01488
CL-12565,United States,West,California,Lancaster,93534,A00917
LT-17110,United States,West,California,Lancaster,93534,A02944
SA-20830,United States,South,Virginia,Richmond,23223,A04093
JK-15730,United States,South,North Carolina,Asheville,28806,A02333
ES-14020,United States,West,California,San Francisco,94110,A01696
RH-19495,United States,Central,Minnesota,Rochester,55901,A03976
DB-13120,United States,East,New York,Rochester,14609,A01141
CD-11920,United States,West,California,Lake Elsinore,92530,A00838
HW-14935,United States,West,California,San Diego,92105,A02053
HW-14935,United States,East,New York,New York City,10024,A02052
MC-18130,United States,South,Louisiana,Monroe,71203,A03056
GM-14440,United States,West,California,San Francisco,94122,A01878
RA-19915,United States,West,Colorado,Denver,80219,A03817
AA-10375,United States,Central,Nebraska,Omaha,68104,A00011
ZC-21910,United States,West,Washington,Edmonds,98026,A04897
PJ-19015,United States,West,California,Santa Ana,92704,A03662
BW-11110,United States,Central,Wisconsin,Milwaukee,53209,A00702
DB-13210,United States,East,Pennsylvania,Philadelphia,19140,A01152
CA-12775,United States,East,Pennsylvania,Philadelphia,19140,A00738
TR-21325,United States,East,New Jersey,Belleville,7109,A04704
PG-18820,United States,West,California,San Francisco,94110,A03637
GT-14710,United States,Central,Minnesota,Lakeville,55044,A01914
JE-15745,United States,South,Kentucky,Florence,41042,A02190
JB-15400,United States,South,Florida,Tampa,33614,A02098
LH-17020,United States,Central,Texas,Tyler,75701,A02862
JL-15175,United States,South,Tennessee,Columbia,38401,A02363
EB-13705,United States,Central,Texas,Fort Worth,76106,A01500
BM-11650,United States,East,New York,New York City,10035,A00564
EM-14095,United States,West,California,Los Angeles,90036,A01655
AF-10885,United States,South,Kentucky,Louisville,40214,A00105
GA-14725,United States,East,Ohio,Lorain,44052,A01814
CK-12760,United States,East,New Jersey,Linden,7036,A00905
DP-13105,United States,West,California,Salinas,93905,A01393
VD-21670,United States,South,Mississippi,Jackson,39212,A04801
GT-14710,United States,East,New York,New York City,10035,A01916
BK-11260,United States,East,New York,New York City,10035,A00543
SJ-20125,United States,East,New Jersey,New Brunswick,8901,A04305
CM-12445,United States,West,California,San Francisco,94122,A00965
AJ-10795,United States,South,Florida,Jacksonville,32216,A00234
AJ-10780,United States,South,Virginia,Springfield,22153,A00232
LS-16945,United States,East,Pennsylvania,Philadelphia,19140,A02911
GP-14740,United States,East,Pennsylvania,Lancaster,17602,A01904
PK-18910,United States,East,Pennsylvania,Philadelphia,19143,A03663
TB-21520,United States,East,New Hampshire,Concord,3301,A04574
SM-20005,United States,East,New York,New York City,10009,A04332
GA-14725,United States,South,North Carolina,Charlotte,28205,A01810
CC-12430,United States,East,New Hampshire,Concord,3301,A00799
AG-10765,United States,East,Pennsylvania,Philadelphia,19120,A00149
HP-14815,United States,East,New York,New York City,10024,A02034
DK-13090,United States,South,Virginia,Springfield,22153,A01279
GZ-14470,United States,West,California,San Francisco,94109,A01938
PM-19135,United States,Central,Michigan,Detroit,48227,A03685
LL-16840,United States,East,New York,Rochester,14609,A02873
JS-15595,United States,West,California,Los Angeles,90045,A02490
OT-18730,United States,West,California,San Diego,92105,A03582
EL-13735,United States,East,Maryland,Columbia,21044,A01631
CK-12760,United States,West,California,San Francisco,94122,A00909
JE-15475,United States,East,New York,New Rochelle,10801,A02166
TH-21550,United States,Central,Michigan,Detroit,48227,A04663
PC-18745,United States,West,California,San Francisco,94122,A03607
HL-15040,United States,Central,Texas,Houston,77095,A02010
MS-17365,United States,Central,Michigan,Detroit,48227,A03304
GB-14530,United States,East,New York,Auburn,13021,A01821
JR-16210,United States,East,Ohio,Springfield,45503,A02486
TD-20995,United States,Central,Texas,Garland,75043,A04627
DB-13060,United States,Central,Illinois,Chicago,60653,A01132
LC-17140,United States,West,California,Los Angeles,90032,A02824
PO-18865,United States,East,New York,New York City,10009,A03713
BE-11335,United States,Central,Michigan,Jackson,49201,A00459
SC-20050,United States,East,Connecticut,Norwich,6360,A04123
BM-11650,United States,Central,Wisconsin,Milwaukee,53209,A00562
KL-16555,United States,Central,Texas,San Antonio,78207,A02672
RW-19630,United States,Central,Texas,Dallas,75220,A04073
RC-19825,United States,South,Virginia,Alexandria,22304,A03877
SE-20110,United States,East,New York,New York City,10009,A04223
AH-10075,United States,East,New York,New York City,10011,A00176
JM-15535,United States,East,Pennsylvania,Philadelphia,19143,A02410
JJ-15760,United States,South,Virginia,Springfield,22153,A02302
AB-10165,United States,East,Ohio,Toledo,43615,A00057
RK-19300,United States,East,Pennsylvania,Philadelphia,19140,A03988
CG-12040,United States,East,Pennsylvania,Philadelphia,19120,A00858
RA-19885,United States,West,New Mexico,Farmington,87401,A03809
RP-19270,United States,West,California,Riverside,92503,A04019
KC-16255,United States,West,California,San Francisco,94110,A02578
RW-19630,United States,West,California,Torrance,90503,A04079
JL-15850,United States,West,Washington,Seattle,98105,A02393
CA-12775,United States,West,Arizona,Mesa,85204,A00737
RB-19795,United States,East,Pennsylvania,Philadelphia,19120,A03874
KH-16360,United States,East,Pennsylvania,Philadelphia,19143,A02641
GH-14665,United States,Central,Texas,Round Rock,78664,A01865
SW-20275,United States,South,Mississippi,Jackson,39212,A04503
JA-15970,United States,West,Arizona,Phoenix,85023,A02087
DL-12925,United States,West,California,Oceanside,92054,A01310
LW-16990,United States,West,California,San Francisco,94110,A02957
TB-21190,United States,South,Arkansas,Fayetteville,72701,A04545
CV-12805,United States,West,California,San Francisco,94110,A01096
MS-17365,United States,South,Florida,Boca Raton,33433,A03301
BS-11800,United States,East,New York,New York City,10011,A00660
DL-13315,United States,East,Pennsylvania,Philadelphia,19134,A01316
PO-19195,United States,East,New York,New York City,10011,A03726
TD-20995,United States,West,Oregon,Portland,97206,A04631
BW-11110,United States,Central,Michigan,Detroit,48205,A00699
RW-19690,United States,South,North Carolina,Wilmington,28403,A04084
KB-16600,United States,Central,Indiana,Columbus,47201,A02567
EB-13870,United States,East,New York,New York City,10035,A01525
TZ-21580,United States,West,Colorado,Louisville,80027,A04790
AS-10630,United States,Central,Texas,Pasadena,77506,A00348
TS-21340,United States,Central,Texas,Houston,77041,A04724
JG-15805,United States,East,New York,Auburn,13021,A02263
SL-20155,United States,South,Florida,Jacksonville,32216,A04326
TS-21610,United States,East,New York,New York City,10024,A04747
RF-19735,United States,West,California,San Jose,95123,A03962
MW-18235,United States,South,Virginia,Virginia Beach,23464,A03370
RD-19585,United States,South,Kentucky,Henderson,42420,A03900
FM-14290,United States,West,Washington,Vancouver,98661,A01771
RH-19495,United States,East,New York,New York City,10024,A03974
RA-19945,United States,West,California,Murrieta,92563,A03826
JK-15730,United States,South,North Carolina,Jacksonville,28540,A02340
MT-17815,United States,West,Arizona,Scottsdale,85254,A03344
PO-18850,United States,Central,Iowa,Burlington,52601,A03697
AT-10735,United States,Central,Illinois,Chicago,60653,A00358
VG-21790,United States,West,California,San Diego,92037,A04811
PF-19165,United States,West,Washington,Olympia,98502,A03619
JS-15880,United States,West,Washington,Seattle,98103,A02499
MO-17800,United States,West,California,Los Angeles,90036,A03264
KM-16225,United States,East,New York,New York City,10011,A02685
GT-14710,United States,East,District of Columbia,Washington,20016,A01920
PB-19150,United States,East,Pennsylvania,Philadelphia,19134,A03601
HR-14770,United States,West,California,Los Angeles,90045,A02038
DE-13255,United States,East,Ohio,Springfield,45503,A01217
LA-16780,United States,East,New Jersey,Hackensack,7601,A02767
