,SalesID,OrderID,ProductID,Sales,Quantity,Discount,Profit
25,SSS00025,CA-2016-121755,OFF-BI-10001634,11.648,2,0.2,4.2224
26,SSS00026,CA-2016-121755,TEC-AC-10003027,90.57,3,0.0,11.7741
27,SSS00027,US-2015-150630,FUR-BO-10004834,3083.43,7,0.5,-1665.0522
28,SSS00028,US-2015-150630,OFF-BI-10000474,9.618,2,0.7,-7.0532
29,SSS00029,US-2015-150630,FUR-FU-10004848,124.2,3,0.2,15.525
30,SSS00030,US-2015-150630,OFF-EN-10001509,3.264,2,0.2,1.1016
31,SSS00031,US-2015-150630,OFF-AR-10004042,86.304,6,0.2,9.7092
32,SSS00032,US-2015-150630,OFF-BI-10001525,6.858,6,0.7,-5.715
33,SSS00033,US-2015-150630,OFF-AR-10001683,15.76,2,0.2,3.546
34,SSS00034,CA-2017-107727,OFF-PA-10000249,29.472,3,0.2,9.9468
35,SSS00035,CA-2016-117590,TEC-PH-10004977,1097.544,7,0.2,123.4737
36,SSS00036,CA-2016-117590,FUR-FU-10003664,190.92,5,0.6,-147.963
37,SSS00037,CA-2015-117415,OFF-EN-10002986,113.328,9,0.2,35.415
38,SSS00038,CA-2015-117415,FUR-BO-10002545,532.3992,3,0.32,-46.9764
39,SSS00039,CA-2015-117415,FUR-CH-10004218,212.058,3,0.3,-15.147
40,SSS00040,CA-2015-117415,TEC-PH-10000486,371.168,4,0.2,41.7564
41,SSS00041,CA-2017-120999,TEC-PH-10004093,147.168,4,0.2,16.5564
42,SSS00042,CA-2016-101343,OFF-ST-10003479,77.88,2,0.0,3.894
43,SSS00043,CA-2017-139619,OFF-ST-10003282,95.616,2,0.2,9.5616
44,SSS00044,CA-2016-118255,TEC-AC-10000171,45.98,2,0.0,19.7714
45,SSS00045,CA-2016-118255,OFF-BI-10003291,17.46,2,0.0,8.2062
46,SSS00046,CA-2014-146703,OFF-ST-10001713,211.96,4,0.0,8.4784
47,SSS00047,CA-2016-169194,TEC-AC-10002167,45.0,3,0.0,4.95
48,SSS00048,CA-2016-169194,TEC-PH-10003988,21.8,2,0.0,6.104
49,SSS00049,CA-2015-115742,OFF-BI-10004410,38.22,6,0.0,17.9634
50,SSS00050,CA-2015-115742,OFF-LA-10002762,75.18,6,0.0,35.3346
51,SSS00051,CA-2015-115742,FUR-FU-10001706,6.16,2,0.0,2.9568
52,SSS00052,CA-2015-115742,FUR-CH-10003061,89.99,1,0.0,17.0981
53,SSS00053,CA-2016-105816,OFF-FA-10000304,15.26,7,0.0,6.2566
54,SSS00054,CA-2016-105816,TEC-PH-10002447,1029.95,5,0.0,298.6855
55,SSS00055,CA-2016-111682,OFF-ST-10000604,208.56,6,0.0,52.14
56,SSS00056,CA-2016-111682,OFF-PA-10001569,32.4,5,0.0,15.552
57,SSS00057,CA-2016-111682,FUR-CH-10003968,319.41,5,0.1,7.098
58,SSS00058,CA-2016-111682,OFF-PA-10000587,14.56,2,0.0,6.9888
59,SSS00059,CA-2016-111682,TEC-AC-10002167,30.0,2,0.0,3.3
60,SSS00060,CA-2016-111682,OFF-BI-10001460,48.48,4,0.2,16.362
61,SSS00061,CA-2016-111682,OFF-AR-10001868,1.68,1,0.0,0.84
62,SSS00062,CA-2015-135545,TEC-AC-10004633,13.98,2,0.0,6.1512
63,SSS00063,CA-2015-135545,OFF-BI-10001078,25.824,6,0.2,9.3612
64,SSS00064,CA-2015-135545,OFF-PA-10003892,146.73,3,0.0,68.9631
65,SSS00065,CA-2015-135545,FUR-FU-10000397,79.76,4,0.0,22.3328
66,SSS00066,US-2015-164175,FUR-CH-10001146,213.115,5,0.3,-15.2225
67,SSS00067,CA-2014-106376,OFF-AR-10002671,1113.024,8,0.2,111.3024
68,SSS00068,CA-2014-106376,TEC-PH-10002726,167.968,4,0.2,62.988
69,SSS00069,CA-2016-119823,OFF-PA-10000482,75.88,2,0.0,35.6636
70,SSS00070,CA-2016-106075,OFF-BI-10004654,4.616,1,0.2,1.731
71,SSS00071,CA-2017-114440,OFF-PA-10004675,19.05,3,0.0,8.763
72,SSS00072,US-2015-134026,FUR-CH-10000513,831.936,8,0.2,-114.3912
73,SSS00073,US-2015-134026,FUR-FU-10003708,97.04,2,0.2,1.213
74,SSS00074,US-2015-134026,OFF-ST-10004123,72.784,1,0.2,-18.196
75,SSS00075,US-2017-118038,OFF-BI-10004182,1.248,3,0.8,-1.9344
76,SSS00076,US-2017-118038,FUR-FU-10000260,9.708,3,0.6,-5.8248
77,SSS00077,US-2017-118038,OFF-ST-10000615,27.24,3,0.2,2.724
78,SSS00078,US-2014-147606,FUR-FU-10003194,19.3,5,0.6,-14.475
79,SSS00079,CA-2016-127208,OFF-AP-10002118,208.16,1,0.0,56.2032
80,SSS00080,CA-2016-127208,OFF-BI-10002309,16.74,3,0.0,8.0352
81,SSS00081,CA-2014-139451,OFF-AR-10002053,14.9,5,0.0,4.172
82,SSS00082,CA-2014-139451,OFF-ST-10002370,21.39,1,0.0,6.2031
83,SSS00083,CA-2015-149734,OFF-EN-10000927,200.984,7,0.2,62.8075
84,SSS00084,US-2017-119662,OFF-ST-10003656,230.376,3,0.2,-48.9549
85,SSS00085,CA-2017-140088,FUR-CH-10000863,301.96,2,0.0,33.2156
86,SSS00086,CA-2017-155558,TEC-AC-10001998,19.99,1,0.0,6.7966
87,SSS00087,CA-2017-155558,OFF-LA-10000134,6.16,2,0.0,2.9568
88,SSS00088,CA-2016-159695,OFF-ST-10003442,158.368,7,0.2,13.8572
89,SSS00089,CA-2016-109806,OFF-AR-10004930,20.1,3,0.0,6.633
90,SSS00090,CA-2016-109806,TEC-PH-10004093,73.584,2,0.2,8.2782
91,SSS00091,CA-2016-109806,OFF-PA-10000304,6.48,1,0.0,3.1104
92,SSS00092,CA-2015-149587,OFF-PA-10003177,12.96,2,0.0,6.2208
93,SSS00093,CA-2015-149587,FUR-FU-10003799,53.34,3,0.0,16.5354
94,SSS00094,CA-2015-149587,OFF-BI-10002852,32.96,2,0.0,16.1504
95,SSS00095,US-2017-109484,OFF-BI-10004738,5.682,1,0.7,-3.788
96,SSS00096,CA-2017-161018,FUR-FU-10000629,96.53,7,0.0,40.5426
97,SSS00097,CA-2017-157833,OFF-BI-10001721,51.312,3,0.2,17.9592
98,SSS00098,CA-2016-149223,OFF-AP-10000358,77.88,6,0.0,22.5852
99,SSS00099,CA-2016-158568,OFF-PA-10003256,64.624,7,0.2,22.6184
100,SSS00100,CA-2016-158568,TEC-AC-10001767,95.976,3,0.2,-10.7973
101,SSS00101,CA-2016-158568,OFF-BI-10002609,1.788,3,0.8,-3.0396
102,SSS00102,CA-2016-129903,OFF-PA-10004040,23.92,4,0.0,11.7208
103,SSS00103,US-2015-156867,TEC-AC-10001552,238.896,6,0.2,-26.8758
104,SSS00104,US-2015-156867,FUR-FU-10004006,102.36,3,0.2,-3.8385
105,SSS00105,US-2015-156867,OFF-BI-10002794,36.882,3,0.7,-25.8174
106,SSS00106,CA-2017-119004,TEC-AC-10003499,74.112,8,0.2,17.6016
107,SSS00107,CA-2017-119004,TEC-PH-10002844,27.992,1,0.2,2.0994
108,SSS00108,CA-2017-119004,OFF-AR-10000390,3.304,1,0.2,1.0738
109,SSS00109,CA-2015-129476,TEC-AC-10000844,339.96,5,0.2,67.992
110,SSS00110,CA-2017-146780,FUR-FU-10001934,41.96,2,0.0,10.9096
111,SSS00111,CA-2016-128867,OFF-AR-10000380,75.96,2,0.0,22.788
112,SSS00112,CA-2016-128867,OFF-BI-10003981,27.24,6,0.0,13.3476
113,SSS00113,CA-2014-115259,OFF-FA-10000621,40.096,14,0.2,14.5348
114,SSS00114,CA-2014-115259,OFF-EN-10002600,4.72,2,0.2,1.652
115,SSS00115,CA-2014-115259,OFF-PA-10004965,23.976,3,0.2,7.4925
116,SSS00116,CA-2014-115259,OFF-EN-10002504,130.464,6,0.2,44.0316
117,SSS00117,CA-2015-110457,FUR-TA-10001768,787.53,3,0.0,165.3813
118,SSS00118,US-2015-136476,OFF-BI-10003650,157.794,1,0.7,-115.7156
119,SSS00119,CA-2016-103730,FUR-FU-10002157,47.04,3,0.0,18.3456
120,SSS00120,CA-2016-103730,OFF-BI-10003910,30.84,4,0.0,13.878
121,SSS00121,CA-2016-103730,OFF-ST-10000777,226.56,6,0.0,63.4368
122,SSS00122,CA-2016-103730,OFF-EN-10002500,115.02,9,0.0,51.759
123,SSS00123,CA-2016-103730,TEC-PH-10003875,68.04,7,0.0,19.7316
124,SSS00124,US-2014-152030,FUR-CH-10004063,600.558,3,0.3,-8.5794
125,SSS00125,US-2014-134614,FUR-TA-10004534,617.7,6,0.5,-407.682
126,SSS00126,US-2017-107272,OFF-BI-10003274,2.388,2,0.7,-1.8308
127,SSS00127,US-2017-107272,OFF-ST-10002974,243.992,7,0.2,30.499
128,SSS00128,US-2016-125969,FUR-CH-10001146,81.424,2,0.2,-9.1602
129,SSS00129,US-2016-125969,FUR-FU-10003773,238.56,3,0.0,26.2416
130,SSS00130,US-2017-164147,TEC-PH-10002293,59.97,5,0.4,-11.994
131,SSS00131,US-2017-164147,OFF-PA-10002377,78.304,2,0.2,29.364
132,SSS00132,US-2017-164147,OFF-FA-10002780,21.456,9,0.2,6.9732
133,SSS00133,CA-2016-145583,OFF-PA-10001804,20.04,3,0.0,9.6192
134,SSS00134,CA-2016-145583,OFF-PA-10001736,35.44,1,0.0,16.6568
135,SSS00135,CA-2016-145583,OFF-AR-10001149,11.52,4,0.0,3.456
136,SSS00136,CA-2016-145583,OFF-FA-10002988,4.02,2,0.0,1.9698
137,SSS00137,CA-2016-145583,OFF-BI-10004781,76.176,3,0.2,26.6616
138,SSS00138,CA-2016-145583,OFF-SU-10001218,65.88,6,0.0,18.4464
139,SSS00139,CA-2016-145583,FUR-FU-10001706,43.12,14,0.0,20.6976
140,SSS00140,CA-2016-110366,FUR-FU-10004848,82.8,2,0.2,10.35
141,SSS00141,CA-2017-106180,OFF-AR-10000940,8.82,3,0.0,2.3814
142,SSS00142,CA-2017-106180,OFF-EN-10004030,10.86,3,0.0,5.1042
143,SSS00143,CA-2017-106180,OFF-PA-10004327,143.7,3,0.0,68.976
144,SSS00144,CA-2017-155376,OFF-AP-10001058,839.43,3,0.0,218.2518
145,SSS00145,CA-2015-110744,OFF-ST-10003656,671.93,7,0.0,20.1579
146,SSS00146,CA-2014-110072,FUR-FU-10000521,93.888,4,0.2,12.9096
147,SSS00147,CA-2016-114489,TEC-PH-10000215,384.45,11,0.0,103.8015
148,SSS00148,CA-2016-114489,TEC-PH-10001448,149.97,3,0.0,5.9988
149,SSS00149,CA-2016-114489,FUR-CH-10000454,1951.84,8,0.0,585.552
150,SSS00150,CA-2016-114489,OFF-BI-10002735,171.55,5,0.0,80.6285
151,SSS00151,CA-2016-158834,OFF-AP-10000326,157.92,5,0.2,17.766
152,SSS00152,CA-2016-158834,TEC-PH-10001254,203.184,2,0.2,15.2388
153,SSS00153,CA-2015-124919,OFF-PA-10001950,58.38,7,0.0,26.271
154,SSS00154,CA-2015-124919,OFF-PA-10002254,105.52,4,0.0,48.5392
155,SSS00155,CA-2015-124919,OFF-ST-10001590,80.88,6,0.0,21.0288
156,SSS00156,CA-2015-118948,OFF-AR-10001547,6.63,3,0.0,1.7901
157,SSS00157,CA-2014-104269,FUR-CH-10004063,457.568,2,0.2,51.4764
158,SSS00158,CA-2016-114104,OFF-LA-10002475,14.62,2,0.0,6.8714
159,SSS00159,CA-2016-114104,TEC-PH-10004536,944.93,7,0.0,236.2325
160,SSS00160,CA-2016-162733,OFF-PA-10002751,5.98,1,0.0,2.691
161,SSS00161,CA-2015-119697,TEC-AC-10003657,54.384,2,0.2,1.3596
162,SSS00162,CA-2016-154508,OFF-EN-10001990,28.4,5,0.0,13.348
163,SSS00163,CA-2016-113817,OFF-BI-10004002,27.68,2,0.2,9.688
164,SSS00164,CA-2014-139892,OFF-AR-10004441,9.936,3,0.2,2.7324
165,SSS00165,CA-2014-139892,TEC-MA-10000822,8159.952,8,0.4,-1359.992
166,SSS00166,CA-2014-139892,OFF-ST-10000991,275.928,3,0.2,-58.6347
167,SSS00167,CA-2014-139892,FUR-CH-10004287,1740.06,9,0.3,-24.858
168,SSS00168,CA-2014-139892,OFF-AR-10002656,32.064,6,0.2,6.8136
169,SSS00169,CA-2014-139892,OFF-AP-10002518,177.98,5,0.8,-453.849
170,SSS00170,CA-2014-139892,TEC-PH-10003931,143.976,3,0.2,8.9985
171,SSS00171,CA-2014-118962,OFF-PA-10000659,20.94,3,0.0,9.8418
172,SSS00172,CA-2014-118962,OFF-PA-10001144,110.96,2,0.0,53.2608
173,SSS00173,CA-2014-118962,FUR-CH-10003817,340.144,7,0.2,21.259
174,SSS00174,US-2014-100853,OFF-AP-10000891,52.448,2,0.8,-131.12
175,SSS00175,US-2014-100853,OFF-LA-10003148,20.16,4,0.2,6.552
176,SSS00176,US-2017-152366,OFF-AP-10002684,97.264,4,0.8,-243.16
177,SSS00177,US-2015-101511,FUR-CH-10004698,396.802,7,0.3,-11.3372
178,SSS00178,US-2015-101511,OFF-SU-10002189,15.88,5,0.2,-3.7715
179,SSS00179,CA-2015-137225,OFF-AR-10001940,3.28,1,0.0,1.4104
180,SSS00180,CA-2014-166191,OFF-ST-10003455,24.816,2,0.2,1.8612
181,SSS00181,CA-2014-166191,TEC-AC-10004659,408.744,7,0.2,76.6395
182,SSS00182,CA-2014-158274,TEC-PH-10003273,503.96,4,0.0,131.0296
183,SSS00183,CA-2014-158274,TEC-PH-10004896,149.95,5,0.0,41.986
184,SSS00184,CA-2014-158274,TEC-AC-10002345,29.0,2,0.0,7.25
185,SSS00185,CA-2016-105018,OFF-BI-10001890,7.16,2,0.0,3.4368
186,SSS00186,CA-2014-123260,TEC-AC-10002323,176.8,8,0.0,22.984
187,SSS00187,CA-2016-157000,OFF-ST-10001328,37.224,3,0.2,3.7224
188,SSS00188,CA-2016-157000,OFF-PA-10001950,20.016,3,0.2,6.255
189,SSS00189,CA-2015-102281,FUR-BO-10002613,899.136,4,0.2,112.392
190,SSS00190,CA-2015-102281,TEC-PH-10001552,71.76,6,0.0,20.0928
191,SSS00191,CA-2015-102281,OFF-PA-10000061,51.84,8,0.0,24.8832
192,SSS00192,CA-2015-102281,FUR-BO-10002545,626.352,3,0.2,46.9764
193,SSS00193,CA-2015-102281,OFF-AR-10003514,19.9,5,0.0,6.567
194,SSS00194,CA-2015-131457,OFF-EN-10001509,14.28,7,0.0,6.7116
195,SSS00195,CA-2014-140004,OFF-AR-10004685,7.408,2,0.2,1.2038
196,SSS00196,CA-2014-140004,OFF-AR-10004027,6.048,3,0.2,1.5876
197,SSS00197,CA-2017-107720,OFF-ST-10001414,46.26,3,0.0,12.0276
198,SSS00198,US-2017-124303,OFF-BI-10000343,2.946,2,0.7,-2.2586
199,SSS00199,US-2017-124303,OFF-PA-10002749,16.056,3,0.2,5.8203
200,SSS00200,CA-2017-105074,OFF-PA-10002666,21.744,3,0.2,6.795
201,SSS00201,CA-2014-133690,FUR-TA-10004289,218.75,2,0.5,-161.875
202,SSS00202,CA-2014-133690,OFF-AP-10003622,2.6,1,0.2,0.2925
203,SSS00203,US-2017-116701,OFF-AP-10003217,66.284,2,0.8,-178.9668
204,SSS00204,CA-2017-126382,FUR-FU-10002960,35.168,7,0.2,9.6712
205,SSS00205,CA-2017-108329,TEC-PH-10001918,444.768,4,0.2,44.4768
206,SSS00206,CA-2017-135860,OFF-ST-10000642,83.92,4,0.0,5.8744
207,SSS00207,CA-2017-135860,TEC-PH-10001700,131.98,2,0.0,35.6346
208,SSS00208,CA-2017-135860,OFF-BI-10003274,15.92,4,0.0,7.4824
209,SSS00209,CA-2017-135860,OFF-FA-10000134,52.29,9,0.0,16.2099
210,SSS00210,CA-2017-135860,OFF-ST-10001522,91.99,1,0.0,3.6796
211,SSS00211,CA-2015-101007,TEC-AC-10001266,20.8,2,0.2,6.5
212,SSS00212,CA-2015-146262,OFF-LA-10004544,23.68,2,0.2,8.88
213,SSS00213,CA-2015-146262,FUR-BO-10004695,452.45,5,0.5,-244.323
214,SSS00214,CA-2015-146262,TEC-PH-10002844,62.982,3,0.4,-14.6958
215,SSS00215,CA-2015-146262,TEC-MA-10000864,1188.0,9,0.7,-950.4
216,SSS00216,CA-2015-146262,TEC-AC-10000109,89.584,2,0.2,4.4792
217,SSS00217,CA-2016-130162,OFF-ST-10001328,93.06,6,0.0,26.0568
218,SSS00218,CA-2016-130162,TEC-PH-10002563,302.376,3,0.2,22.6782
219,SSS00219,CA-2015-169397,OFF-FA-10000585,5.584,2,0.2,1.8148
220,SSS00220,CA-2015-169397,OFF-PA-10004000,22.704,6,0.2,8.2302
221,SSS00221,CA-2015-169397,OFF-BI-10002852,19.776,4,0.7,-13.8432
222,SSS00222,CA-2015-169397,FUR-FU-10000087,72.704,4,0.2,19.0848
223,SSS00223,CA-2015-169397,TEC-MA-10001148,479.988,4,0.7,-383.9904
224,SSS00224,CA-2015-169397,OFF-AR-10001958,27.168,2,0.2,2.7168
225,SSS00225,CA-2015-163055,OFF-AR-10001026,2.2,1,0.0,0.968
226,SSS00226,CA-2015-163055,FUR-TA-10003748,622.45,5,0.0,136.939
227,SSS00227,CA-2015-163055,OFF-ST-10002485,21.98,1,0.0,0.2198
228,SSS00228,US-2015-145436,FUR-CH-10004860,161.568,2,0.2,-28.2744
229,SSS00229,US-2015-145436,FUR-CH-10004477,389.696,8,0.2,43.8408
230,SSS00230,US-2014-156216,OFF-BI-10001679,18.648,7,0.7,-12.432
231,SSS00231,US-2017-100930,FUR-TA-10001705,233.86,2,0.45,-102.048
232,SSS00232,US-2017-100930,FUR-TA-10003473,620.6145,3,0.45,-248.2458
233,SSS00233,US-2017-100930,OFF-BI-10001679,5.328,2,0.7,-3.552
234,SSS00234,US-2017-100930,FUR-FU-10004017,258.072,3,0.2,0.0
235,SSS00235,US-2017-100930,TEC-AC-10003832,617.976,3,0.2,-7.7247
236,SSS00236,CA-2017-160514,OFF-PA-10002479,10.56,2,0.0,4.752
237,SSS00237,CA-2016-157749,OFF-PA-10003349,25.92,5,0.2,9.396
238,SSS00238,CA-2016-157749,FUR-FU-10000576,419.68,5,0.6,-356.728
239,SSS00239,CA-2016-157749,FUR-FU-10004351,11.688,3,0.6,-4.6752
240,SSS00240,CA-2016-157749,TEC-PH-10000011,31.984,2,0.2,11.1944
241,SSS00241,CA-2016-157749,FUR-TA-10002607,177.225,5,0.5,-120.513
242,SSS00242,CA-2016-157749,FUR-FU-10002505,4.044,3,0.6,-2.8308
243,SSS00243,CA-2016-157749,OFF-AR-10004685,7.408,2,0.2,1.2038
244,SSS00244,CA-2014-131926,FUR-CH-10004063,2001.86,7,0.0,580.5394
245,SSS00245,CA-2014-131926,OFF-ST-10002276,166.72,2,0.0,41.68
246,SSS00246,CA-2014-131926,OFF-PA-10004082,47.88,6,0.0,23.94
247,SSS00247,CA-2014-131926,OFF-AP-10002945,1503.25,5,0.0,496.0725
248,SSS00248,CA-2014-131926,OFF-PA-10000061,25.92,4,0.0,12.4416
249,SSS00249,CA-2016-154739,FUR-CH-10002965,321.568,2,0.2,28.1372
250,SSS00250,CA-2016-145625,OFF-PA-10004569,7.61,1,0.0,3.5767
251,SSS00251,CA-2016-145625,TEC-AC-10003832,3347.37,13,0.0,636.0003
252,SSS00252,CA-2016-146941,OFF-ST-10001228,80.58,6,0.0,22.5624
253,SSS00253,CA-2016-146941,OFF-EN-10003296,361.92,4,0.0,162.864
254,SSS00254,US-2015-159982,FUR-FU-10002505,12.132,9,0.6,-8.4924
255,SSS00255,US-2015-159982,OFF-ST-10004804,82.368,2,0.2,-19.5624
256,SSS00256,US-2015-159982,OFF-ST-10001590,53.92,5,0.2,4.044
257,SSS00257,US-2015-159982,TEC-PH-10001580,647.904,6,0.2,56.6916
258,SSS00258,CA-2017-163139,TEC-AC-10000290,20.37,3,0.0,6.9258
259,SSS00259,CA-2017-163139,OFF-ST-10002790,221.55,3,0.0,6.6465
260,SSS00260,CA-2017-163139,OFF-BI-10003460,17.52,5,0.2,6.132
261,SSS00261,US-2017-155299,OFF-AP-10002203,1.624,2,0.8,-4.466
262,SSS00262,US-2014-106992,TEC-MA-10000822,3059.982,3,0.4,-509.997
263,SSS00263,US-2014-106992,TEC-MA-10003353,2519.958,7,0.4,-251.9958
264,SSS00264,CA-2016-125318,TEC-PH-10001433,328.224,4,0.2,28.7196
265,SSS00265,CA-2015-155040,TEC-AC-10004469,79.9,2,0.0,35.156
266,SSS00266,CA-2017-136826,OFF-AR-10003602,14.016,3,0.2,4.7304
267,SSS00267,CA-2016-111010,OFF-FA-10003472,7.56,6,0.0,0.3024
268,SSS00268,US-2017-145366,OFF-ST-10004180,37.208,1,0.2,-7.4416
269,SSS00269,US-2017-145366,OFF-EN-10004386,57.576,3,0.2,21.591
270,SSS00270,CA-2017-163979,OFF-ST-10003208,725.84,4,0.0,210.4936
271,SSS00271,CA-2015-155334,TEC-AC-10003628,209.93,7,0.0,92.3692
272,SSS00272,CA-2015-155334,FUR-FU-10003274,5.28,3,0.0,2.3232
273,SSS00273,CA-2015-155334,OFF-BI-10002557,10.92,3,0.2,4.095
274,SSS00274,CA-2017-118136,OFF-PA-10002615,8.82,2,0.0,4.0572
275,SSS00275,CA-2017-118136,OFF-AR-10001427,5.98,1,0.0,1.5548
276,SSS00276,CA-2017-132976,OFF-PA-10000673,11.648,2,0.2,4.0768
277,SSS00277,CA-2017-132976,OFF-PA-10004470,18.176,4,0.2,5.9072
278,SSS00278,CA-2017-132976,OFF-ST-10000876,59.712,6,0.2,5.9712
279,SSS00279,CA-2017-132976,OFF-LA-10002043,24.84,3,0.2,8.694
280,SSS00280,US-2015-161991,OFF-BI-10004967,2.08,5,0.8,-3.432
281,SSS00281,US-2015-161991,TEC-PH-10001760,1114.4,7,0.2,376.11
282,SSS00282,CA-2015-130890,FUR-TA-10002903,1038.84,5,0.2,51.942
283,SSS00283,CA-2015-130883,OFF-PA-10000474,141.76,5,0.2,47.844
284,SSS00284,CA-2015-130883,TEC-AC-10001956,239.8,5,0.2,47.96
285,SSS00285,CA-2015-130883,OFF-PA-10004100,31.104,6,0.2,10.8864
286,SSS00286,CA-2016-112697,OFF-BI-10000778,254.058,7,0.7,-169.372
287,SSS00287,CA-2016-112697,OFF-AP-10002684,194.528,2,0.2,24.316
288,SSS00288,CA-2016-112697,OFF-SU-10000646,961.48,5,0.2,-204.3145
289,SSS00289,CA-2016-110772,OFF-FA-10002983,19.096,7,0.2,6.6836
290,SSS00290,CA-2016-110772,OFF-LA-10004689,18.496,8,0.2,6.2424
291,SSS00291,CA-2016-110772,TEC-AC-10002001,255.984,2,0.2,54.3966
292,SSS00292,CA-2016-110772,FUR-BO-10004709,86.97,3,0.5,-48.7032
293,SSS00293,CA-2014-111451,FUR-FU-10004091,300.416,8,0.2,78.8592
294,SSS00294,CA-2014-111451,FUR-CH-10001891,230.352,3,0.2,20.1558
295,SSS00295,CA-2014-111451,FUR-FU-10002918,218.352,3,0.2,-24.5646
296,SSS00296,CA-2014-111451,OFF-BI-10004593,78.6,5,0.7,-62.88
297,SSS00297,CA-2014-111451,OFF-FA-10004854,27.552,3,0.2,9.2988
298,SSS00298,CA-2016-142545,OFF-PA-10002105,32.4,5,0.0,15.552
299,SSS00299,CA-2016-142545,OFF-ST-10002756,1082.48,8,0.0,10.8248
300,SSS00300,CA-2016-142545,OFF-PA-10004243,56.91,3,0.0,27.3168
301,SSS00301,CA-2016-142545,FUR-FU-10001861,77.6,4,0.0,38.024
302,SSS00302,CA-2016-142545,OFF-BI-10002706,14.28,1,0.0,6.5688
303,SSS00303,US-2017-152380,FUR-TA-10002533,219.075,3,0.5,-131.445
304,SSS00304,CA-2015-144253,FUR-FU-10002671,26.8,2,0.0,12.864
305,SSS00305,CA-2014-130960,OFF-AR-10003651,9.84,3,0.0,2.8536
306,SSS00306,CA-2014-111003,OFF-BI-10001072,45.48,3,0.0,20.9208
307,SSS00307,CA-2014-111003,OFF-AR-10002135,289.2,6,0.0,83.868
308,SSS00308,CA-2017-126774,OFF-AR-10002804,4.89,1,0.0,2.0049
309,SSS00309,CA-2016-142902,FUR-FU-10001918,15.136,4,0.2,3.5948
310,SSS00310,CA-2016-142902,FUR-CH-10004086,466.768,2,0.2,52.5114
311,SSS00311,CA-2016-142902,FUR-FU-10001756,15.232,1,0.2,1.7136
312,SSS00312,CA-2016-142902,OFF-LA-10000634,6.264,3,0.2,2.0358
313,SSS00313,CA-2014-120887,FUR-FU-10001588,87.54,3,0.0,37.6422
314,SSS00314,CA-2014-167850,TEC-PH-10002398,178.384,2,0.2,22.298
315,SSS00315,CA-2014-167850,OFF-PA-10001937,15.552,3,0.2,5.4432
316,SSS00316,CA-2014-164259,OFF-AR-10003373,99.136,4,0.2,8.6744
317,SSS00317,CA-2014-164973,FUR-CH-10002602,135.882,1,0.1,24.1568
318,SSS00318,CA-2014-164973,TEC-MA-10002927,3991.98,2,0.0,1995.99
319,SSS00319,CA-2014-164973,TEC-PH-10004093,275.94,6,0.0,80.0226
320,SSS00320,CA-2014-164973,TEC-AC-10000892,360.0,4,0.0,129.6
321,SSS00321,CA-2014-164973,OFF-ST-10002974,43.57,1,0.0,13.071
322,SSS00322,CA-2014-156601,OFF-FA-10000624,7.16,2,0.0,3.58
323,SSS00323,CA-2016-162138,OFF-BI-10004593,251.52,6,0.2,81.744
324,SSS00324,CA-2016-162138,TEC-AC-10001908,99.99,1,0.0,34.9965
