index,ProductID,Category,SubCategory,ProductName,PurchasePrice
30,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,1.0812
31,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",12.7658
32,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",2.0955
33,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,6.107
34,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,6.508400000000001
35,TEC-PH-10004977,Technology,Phones,GE 30524EE4,139.15290000000002
36,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",67.7766
37,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",8.657000000000002
38,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",193.12519999999998
39,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",75.735
40,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,82.3529
41,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,32.6529
42,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",36.992999999999995
43,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",43.0272
44,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",13.104299999999999
45,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,4.6269
46,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",50.870400000000004
47,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,13.35
48,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",7.848000000000001
49,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",3.3760999999999997
50,OFF-LA-10002762,Office Supplies,Labels,Avery 485,6.640900000000001
51,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,1.6016000000000001
52,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",72.89189999999999
53,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,1.2861999999999998
54,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,146.2529
55,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,26.070000000000004
56,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,3.3695999999999997
57,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,62.4624
58,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",3.7856
60,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,8.029499999999999
61,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,0.84
62,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",3.9144
63,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",2.7438000000000002
64,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,25.922299999999996
65,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,14.356800000000002
66,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",45.667500000000004
67,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",125.21519999999998
68,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,26.244999999999997
69,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",20.108199999999997
70,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,2.885
71,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",3.4290000000000003
72,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,118.29090000000001
73,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",47.913500000000006
74,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,90.98
75,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,1.0608
76,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",5.1776
77,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",8.171999999999999
78,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",6.755
79,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",151.9568
80,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,2.9015999999999997
81,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",2.1456000000000004
82,OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",15.186900000000001
83,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,19.7395
84,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,93.1103
85,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,134.3722
86,TEC-AC-10001998,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,13.193399999999999
87,OFF-LA-10000134,Office Supplies,Labels,Avery 511,1.6016000000000001
88,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,20.644399999999997
89,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,4.489000000000001
91,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995,3.3696000000000006
92,OFF-PA-10003177,Office Supplies,Paper,Xerox 1999,3.3696000000000006
93,FUR-FU-10003799,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",12.268200000000002
94,OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers,8.4048
95,OFF-BI-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,9.47
96,FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,7.9982
97,OFF-BI-10001721,Office Supplies,Binders,Trimflex Flexible Post Binders,11.117600000000001
98,OFF-AP-10000358,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,9.2158
99,OFF-PA-10003256,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,6.000799999999999
100,TEC-AC-10001767,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,35.591100000000004
101,OFF-BI-10002609,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,1.6092000000000002
102,OFF-PA-10004040,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),3.0498000000000003
103,TEC-AC-10001552,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,44.2953
104,FUR-FU-10004006,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",35.399499999999996
105,OFF-BI-10002794,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",20.8998
106,TEC-AC-10003499,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,7.063799999999999
107,TEC-PH-10002844,Technology,Phones,Speck Products Candyshell Flip Case,25.8926
108,OFF-AR-10000390,Office Supplies,Art,Newell Chalk Holder,2.2302
109,TEC-AC-10000844,Technology,Accessories,Logitech Gaming G510s - Keyboard,54.39359999999999
110,FUR-FU-10001934,Furniture,Furnishings,Magnifier Swing Arm Lamp,15.525200000000002
111,OFF-AR-10000380,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",26.586
112,OFF-BI-10003981,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders",2.3154
113,OFF-FA-10000621,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",1.8257999999999996
114,OFF-EN-10002600,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",1.5339999999999998
115,OFF-PA-10004965,Office Supplies,Paper,Xerox 1921,5.4944999999999995
116,OFF-EN-10002504,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",14.4054
117,FUR-TA-10001768,Furniture,Tables,Hon Racetrack Conference Tables,207.38289999999998
118,OFF-BI-10003650,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,273.5096
119,FUR-FU-10002157,Furniture,Furnishings,Artistic Insta-Plaque,9.5648
121,OFF-ST-10000777,Office Supplies,Storage,"Companion Letter/Legal File, Black",27.1872
122,OFF-EN-10002500,Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes,7.029
123,TEC-PH-10003875,Technology,Phones,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,6.901200000000001
124,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,203.04579999999999
125,FUR-TA-10004534,Furniture,Tables,Bevis 44 x 96 Conference Tables,170.89700000000002
126,OFF-BI-10003274,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",2.1094
127,OFF-ST-10002974,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",30.499
129,FUR-FU-10003773,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,70.7728
130,TEC-PH-10002293,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,14.3928
131,OFF-PA-10002377,Office Supplies,Paper,Xerox 1916,24.47
132,OFF-FA-10002780,Office Supplies,Fasteners,Staples,1.6092
133,OFF-PA-10001804,Office Supplies,Paper,Xerox 195,3.4736
134,OFF-PA-10001736,Office Supplies,Paper,Xerox 1880,18.783199999999997
135,OFF-AR-10001149,Office Supplies,Art,"Sanford Colorific Colored Pencils, 12/Box",2.016
136,OFF-FA-10002988,Office Supplies,Fasteners,Ideal Clamps,1.0250999999999997
137,OFF-BI-10004781,Office Supplies,Binders,GBC Wire Binding Strips,16.5048
138,OFF-SU-10001218,Office Supplies,Supplies,Fiskars Softgrip Scissors,7.9056
141,OFF-AR-10000940,Office Supplies,Art,Newell 343,2.1462
142,OFF-EN-10004030,Office Supplies,Envelopes,Convenience Packs of Business Envelopes,1.9185999999999999
143,OFF-PA-10004327,Office Supplies,Paper,Xerox 1911,24.907999999999998
144,OFF-AP-10001058,Office Supplies,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,207.05939999999998
146,FUR-FU-10000521,Furniture,Furnishings,"Seth Thomas 14"" Putty-Colored Wall Clock",20.244600000000002
147,TEC-PH-10000215,Technology,Phones,Plantronics Cordless Phone Headset with In-line Volume - M214C,25.5135
148,TEC-PH-10001448,Technology,Phones,Anker Astro 15000mAh USB Portable Charger,47.9904
150,OFF-BI-10002735,Office Supplies,Binders,GBC Prestige Therm-A-Bind Covers,18.1843
151,OFF-AP-10000326,Office Supplies,Appliances,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,28.0308
152,TEC-PH-10001254,Technology,Phones,Jabra BIZ 2300 Duo QD Duo Corded Headset,93.9726
153,OFF-PA-10001950,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes,4.587000000000001
154,OFF-PA-10002254,Office Supplies,Paper,Xerox 1883,14.245199999999999
155,OFF-ST-10001590,Office Supplies,Storage,"Tenex Personal Project File with Scoop Front Design, Black",9.9752
156,OFF-AR-10001547,Office Supplies,Art,Newell 311,1.6133
158,OFF-LA-10002475,Office Supplies,Labels,Avery 519,3.8742999999999994
159,TEC-PH-10004536,Technology,Phones,Avaya 5420 Digital phone,101.24249999999999
160,OFF-PA-10002751,Office Supplies,Paper,Xerox 1920,3.2890000000000006
161,TEC-AC-10003657,Technology,Accessories,Lenovo 17-Key USB Numeric Keypad,26.5122
162,OFF-EN-10001990,Office Supplies,Envelopes,Staple envelope,3.0103999999999997
163,OFF-BI-10004002,Office Supplies,Binders,Wilson Jones International Size A4 Ring Binders,8.995999999999999
164,OFF-AR-10004441,Office Supplies,Art,BIC Brite Liner Highlighters,2.4012
165,TEC-MA-10000822,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,1189.993
166,OFF-ST-10000991,Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.,111.5209
167,FUR-CH-10004287,Furniture,Chairs,SAFCO Arco Folding Chair,196.10199999999998
168,OFF-AR-10002656,Office Supplies,Art,Sanford Liquid Accent Highlighters,4.2084
169,OFF-AP-10002518,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece Power Center,126.3658
170,TEC-PH-10003931,Technology,Phones,JBL Micro Wireless Portable Bluetooth Speaker,44.9925
171,OFF-PA-10000659,Office Supplies,Paper,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6 x 11",3.6994000000000007
172,OFF-PA-10001144,Office Supplies,Paper,Xerox 1913,28.849599999999995
173,FUR-CH-10003817,Furniture,Chairs,"Global Value Steno Chair, Gray",45.555
174,OFF-AP-10000891,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,91.784
175,OFF-LA-10003148,Office Supplies,Labels,Avery 51,3.402
176,OFF-AP-10002684,Office Supplies,Appliances,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",85.106
177,FUR-CH-10004698,Furniture,Chairs,"Padded Folding Chairs, Black, 4/Carton",58.305600000000005
178,OFF-SU-10002189,Office Supplies,Supplies,Acme Rosewood Handle Letter Opener,3.9303000000000003
179,OFF-AR-10001940,Office Supplies,Art,"Sanford Colorific Eraseable Coloring Pencils, 12 Count",1.8695999999999997
180,OFF-ST-10003455,Office Supplies,Storage,"Tenex File Box, Personal Filing Tote with Lid, Black",11.4774
181,TEC-AC-10004659,Technology,Accessories,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,47.44350000000001
182,TEC-PH-10003273,Technology,Phones,AT&T TR1909W,93.23259999999999
183,TEC-PH-10004896,Technology,Phones,Nokia Lumia 521 (T-Mobile),21.5928
184,TEC-AC-10002345,Technology,Accessories,HP Standard 104 key PS/2 Keyboard,10.875
185,OFF-BI-10001890,Office Supplies,Binders,Avery Poly Binder Pockets,1.8616000000000001
186,TEC-AC-10002323,Technology,Accessories,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,19.227
187,OFF-ST-10001328,Office Supplies,Storage,"Personal Filing Tote with Lid, Black/Gray",11.1672
189,FUR-BO-10002613,Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",196.68599999999998
190,TEC-PH-10001552,Technology,Phones,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,8.611200000000002
191,OFF-PA-10000061,Office Supplies,Paper,Xerox 205,3.3696000000000006
193,OFF-AR-10003514,Office Supplies,Art,4009 Highlighters by Sanford,2.6666
195,OFF-AR-10004685,Office Supplies,Art,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",3.1021
196,OFF-AR-10004027,Office Supplies,Art,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",1.4868
197,OFF-ST-10001414,Office Supplies,Storage,Decoflex Hanging Personal Folder File,11.4108
198,OFF-BI-10000343,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",2.6023
199,OFF-PA-10002749,Office Supplies,Paper,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",3.4119000000000006
200,OFF-PA-10002666,Office Supplies,Paper,Southworth 25% Cotton Linen-Finish Paper & Envelopes,4.983
201,FUR-TA-10004289,Furniture,Tables,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,190.3125
202,OFF-AP-10003622,Office Supplies,Appliances,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",2.3075
203,OFF-AP-10003217,Office Supplies,Appliances,Eureka Sanitaire  Commercial Upright,122.62540000000001
204,FUR-FU-10002960,Furniture,Furnishings,"Eldon 200 Class Desk Accessories, Burgundy",3.6424
205,TEC-PH-10001918,Technology,Phones,Nortel Business Series Terminal T7208 Digital phone,100.0728
206,OFF-ST-10000642,Office Supplies,Storage,"Tennsco Lockers, Gray",19.511400000000002
207,TEC-PH-10001700,Technology,Phones,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,48.17269999999999
209,OFF-FA-10000134,Office Supplies,Fasteners,"Advantus Push Pins, Aluminum Head",4.008900000000001
210,OFF-ST-10001522,Office Supplies,Storage,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",88.3104
211,TEC-AC-10001266,Technology,Accessories,Memorex Micro Travel Drive 8 GB,7.15
212,OFF-LA-10004544,Office Supplies,Labels,Avery 505,7.3999999999999995
213,FUR-BO-10004695,Furniture,Bookcases,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,139.3546
215,TEC-MA-10000864,Technology,Machines,Cisco 9971 IP Video Phone Charcoal,237.60000000000002
216,TEC-AC-10000109,Technology,Accessories,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,42.5524
218,TEC-PH-10002563,Technology,Phones,Adtran 1202752G1,93.23259999999999
219,OFF-FA-10000585,Office Supplies,Fasteners,OIC Bulk Pack Metal Binder Clips,1.8845999999999998
220,OFF-PA-10004000,Office Supplies,Paper,"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle",2.4123
222,FUR-FU-10000087,Furniture,Furnishings,"Executive Impressions 14"" Two-Color Numerals Wall Clock",13.404799999999998
223,TEC-MA-10001148,Technology,Machines,Swingline SM12-08 MicroCut Jam Free Shredder,215.9946
224,OFF-AR-10001958,Office Supplies,Art,Stanley Bostitch Contemporary Electric Pencil Sharpeners,12.2256
225,OFF-AR-10001026,Office Supplies,Art,"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow",1.2320000000000002
226,FUR-TA-10003748,Furniture,Tables,Bevis 36 x 72 Conference Tables,97.10220000000001
227,OFF-ST-10002485,Office Supplies,Storage,Rogers Deluxe File Chest,21.7602
228,FUR-CH-10004860,Furniture,Chairs,Global Low Back Tilter Chair,94.9212
229,FUR-CH-10004477,Furniture,Chairs,"Global Push Button Manager's Chair, Indigo",43.2319
230,OFF-BI-10001679,Office Supplies,Binders,GBC Instant Index System for Binding Systems,4.4399999999999995
231,FUR-TA-10001705,Furniture,Tables,Bush Advantage Collection Round Conference Table,167.954
232,FUR-TA-10003473,Furniture,Tables,Bretford Rectangular Conference Table Tops,289.62010000000004
234,FUR-FU-10004017,Furniture,Furnishings,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",86.024
235,TEC-AC-10003832,Technology,Accessories,Logitech P710e Mobile Speakerphone,208.5669
236,OFF-PA-10002479,Office Supplies,Paper,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),2.9040000000000004
237,OFF-PA-10003349,Office Supplies,Paper,Xerox 1957,3.3048
238,FUR-FU-10000576,Furniture,Furnishings,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,155.2816
239,FUR-FU-10004351,Furniture,Furnishings,Staple-based wall hangings,5.4544
240,TEC-PH-10000011,Technology,Phones,PureGear Roll-On Screen Protector,10.3948
241,FUR-TA-10002607,Furniture,Tables,KI Conference Tables,59.5476
242,FUR-FU-10002505,Furniture,Furnishings,Eldon 100 Class Desk Accessories,2.2916
245,OFF-ST-10002276,Office Supplies,Storage,Safco Steel Mobile File Cart,62.519999999999996
246,OFF-PA-10004082,Office Supplies,Paper,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",3.99
247,OFF-AP-10002945,Office Supplies,Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,201.4355
249,FUR-CH-10002965,Furniture,Chairs,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",146.7154
250,OFF-PA-10004569,Office Supplies,Paper,"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page",4.0333000000000006
252,OFF-ST-10001228,Office Supplies,Storage,"Fellowes Personal Hanging Folder Files, Navy",9.6696
253,OFF-EN-10003296,Office Supplies,Envelopes,Tyvek Side-Opening Peel & Seel Expanding Envelopes,49.764
255,OFF-ST-10004804,Office Supplies,Storage,"Belkin 19"" Vented Equipment Shelf, Black",50.965199999999996
257,TEC-PH-10001580,Technology,Phones,Logitech Mobile Speakerphone P710e - speaker phone,98.5354
258,TEC-AC-10000290,Technology,Accessories,Sabrent 4-Port USB 2.0 Hub,4.481400000000001
259,OFF-ST-10002790,Office Supplies,Storage,Safco Industrial Shelving,71.6345
260,OFF-BI-10003460,Office Supplies,Binders,Acco 3-Hole Punch,2.2776
261,OFF-AP-10002203,Office Supplies,Appliances,Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac,3.045
263,TEC-MA-10003353,Technology,Machines,Xerox WorkCentre 6505DN Laser Multifunction Printer,395.9934
264,TEC-PH-10001433,Technology,Phones,Cisco Small Business SPA 502G VoIP phone,74.8761
265,TEC-AC-10004469,Technology,Accessories,Microsoft Sculpt Comfort Mouse,22.372000000000003
266,OFF-AR-10003602,Office Supplies,Art,"Quartet Omega Colored Chalk, 12/Pack",3.0951999999999997
267,OFF-FA-10003472,Office Supplies,Fasteners,Bagged Rubber Bands,1.2096
268,OFF-ST-10004180,Office Supplies,Storage,Safco Commercial Shelving,44.6496
269,OFF-EN-10004386,Office Supplies,Envelopes,"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13",11.995
270,OFF-ST-10003208,Office Supplies,Storage,Adjustable Depth Letter/Legal Cart,128.8366
271,TEC-AC-10003628,Technology,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,16.7944
272,FUR-FU-10003274,Furniture,Furnishings,Regeneration Desk Collection,0.9856000000000001
273,OFF-BI-10002557,Office Supplies,Binders,Presstex Flexible Ring Binders,2.275
274,OFF-PA-10002615,Office Supplies,Paper,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",2.3814
275,OFF-AR-10001427,Office Supplies,Art,Newell 330,4.4252
276,OFF-PA-10000673,Office Supplies,Paper,"Post-it Important Message Note Pad, Neon Colors, 50 Sheets/Pad",3.7855999999999996
277,OFF-PA-10004470,Office Supplies,Paper,"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages",3.0671999999999997
278,OFF-ST-10000876,Office Supplies,Storage,Eldon Simplefile Box Office,8.956800000000001
279,OFF-LA-10002043,Office Supplies,Labels,Avery 489,5.382000000000001
280,OFF-BI-10004967,Office Supplies,Binders,Round Ring Binders,1.1024
281,TEC-PH-10001760,Technology,Phones,Bose SoundLink Bluetooth Speaker,105.47000000000001
282,FUR-TA-10002903,Furniture,Tables,"Bevis Round Bullnose 29"" High Table Top",197.37959999999998
283,OFF-PA-10000474,Office Supplies,Paper,Easy-staple paper,18.7832
284,TEC-AC-10001956,Technology,Accessories,Microsoft Arc Touch Mouse,38.368
285,OFF-PA-10004100,Office Supplies,Paper,Xerox 216,3.3695999999999997
286,OFF-BI-10000778,Office Supplies,Binders,GBC VeloBinder Electric Binding Machine,60.49
288,OFF-SU-10000646,Office Supplies,Supplies,Premier Automatic Letter Opener,233.1589
289,OFF-FA-10002983,Office Supplies,Fasteners,Advantus SlideClip Paper Clips,1.7731999999999999
290,OFF-LA-10004689,Office Supplies,Labels,Avery 512,1.5316999999999998
291,TEC-AC-10002001,Technology,Accessories,Logitech Wireless Gaming Headset G930,100.7937
